"variable","theta","alpha","lambda","mse","msesd","nonzero","rho"
46,8,0.025,0.00163789370695406,0.000336212373168497,0.00094451727870218,78.1649484536082,0.999810602863617
47,6,0.025,0.000999999999999999,0.000787730884091862,0.0017140712995201,67.0927835051546,0.99960164773716
48,8,0.075,0.000999999999999999,0.000369429778463803,0.00128577757335214,54.7628865979381,0.999806023885949
49,8,0,0.000999999999999999,0.000673899975747991,0.00276004151863919,98,0.999668142004219
50,8,0.05,0.000999999999999999,0.00188216974702079,0.00798933521298435,66.298969072165,0.999034017349674
51,8,0.025,0.00163789370695406,0.000238706831105928,0.000585689966515757,74.8247422680412,0.999874727278425
52,8,0.075,0.00439397056076079,0.00167100127957688,0.00665932116990535,51.4536082474227,0.999134846987339
53,8,0.025,0.000999999999999999,0.000680300938552741,0.00328009180858472,79.1134020618557,0.999657878290179
54,6,0,0.000999999999999999,0.000418399924068722,0.00177968024433651,98,0.999794311639957
55,6,0.175,0.000999999999999999,0.00251311815137681,0.0118663010105368,44.5463917525773,0.998730414660739
56,8,0.025,0.000999999999999999,0.000350301417018774,0.000829674611405622,80,0.999825738634089
57,8,0.05,0.000999999999999999,0.000776645067635984,0.00178926371785871,65.2371134020619,0.999607194272459
58,8,0,0.000999999999999999,0.00227640161534439,0.00888995164920583,98,0.998869338515877
59,8,0.225,0.000999999999999999,0.00118319624177772,0.00388679435505728,33.5463917525773,0.999407315305777
60,8,0,0.00439397056076079,0.000381445510297587,0.000696708877046768,98,0.999809261349011
61,8,0.025,0.0117876863479359,0.00284367119205162,0.0173206912079025,12.7422680412371,0.998598152096063
62,8,0.3,0.000999999999999999,0.00108302925776429,0.00438791267582261,13.659793814433,0.999474350218208
63,8,0,0.000999999999999999,0.000421295501374696,0.00148316778500253,98,0.999789953898608
64,8,0.075,0.000999999999999999,0.00054750240650336,0.00199435528308849,49.7113402061856,0.999733081068009
65,6,0.35,0.000999999999999999,0.00040861782696673,0.00117015416673577,27.5773195876289,0.999783662781201
66,6,0,0.000999999999999999,0.000591475324977095,0.00131340964437257,98,0.999703936295271
67,8,0,0.00163789370695406,0.0010246975704168,0.00368568752787572,98,0.999516983442796
68,8,0,0.000999999999999999,0.000730367875826384,0.00172084211728934,98,0.999635177154763
69,8,0.275,0.000999999999999999,0.000872854170866845,0.00227184033430862,26.319587628866,0.999553309228729
70,8,0.05,0.00163789370695406,0.000550255074320388,0.00179871545599815,59.5670103092784,0.999724777361304
71,8,0.375,0.000999999999999999,0.000730800600444024,0.00216505423529555,23.3814432989691,0.999626738837534
72,8,0.025,0.000999999999999999,0.000250728874132056,0.0006070480162154,81.701030927835,0.999875037327461
73,8,0,0.00439397056076079,0.00103128732201101,0.00341183465214235,98,0.999468844534066
74,8,0,0.000999999999999999,0.00453225328574762,0.0155413493137051,98,0.997762499813292
75,8,0,0.00268269579527972,0.00192892162931277,0.00838238415833078,98,0.998981724289488
76,8,0.1,0.000999999999999999,0.000441432071789351,0.00115108362486861,34.9690721649485,0.999790354703584
77,8,0,0.0316227766016838,0.00253115733319356,0.0132627444142305,98,0.998749820478827
78,8,0.075,0.000999999999999999,0.000350626658250116,0.00138158498402134,43.8659793814433,0.999804346907819
79,8,0,0.610540229658533,0.0161260347854325,0.0966885409025217,98,0.992069961348753
80,8,0.05,0.000999999999999999,0.000246219486863339,0.000462297981105272,67.5670103092783,0.999878436078557
81,8,0,0.000999999999999999,0.000500496081806585,0.00154096110339812,98,0.999744438228901
82,8,0.5,0.000999999999999999,9.95381143452997e-05,0.000244711434172013,10.4639175257732,0.999944286103274
83,8,0.025,0.000999999999999999,0.000358835966702952,0.000875473081790032,80.1649484536082,0.999822383325357
84,8,0.025,0.000999999999999999,0.000433987209865608,0.00111397687640454,81.3505154639175,0.99978124424701
85,6,0,0.000999999999999999,0.000381622959852062,0.00076979937927345,98,0.999806294959538
86,8,0,0.000999999999999999,0.000651721147054497,0.00140229585159062,98,0.999669269440925
87,8,0,0.000999999999999999,0.0002932554684865,0.000751115516193033,98,0.999851629739878
88,8,0.075,0.000999999999999999,0.000364695928121029,0.000847796620264298,54.6494845360825,0.999811217770018
89,8,0.275,0.000999999999999999,0.00194844788424039,0.00542107956417832,36.2164948453608,0.999025712347666
90,8,0,0.000999999999999999,0.00205174738073968,0.012980698562058,98,0.998974891663918
91,8,0,0.138949549437314,0.000944756668454141,0.0042560900708787,98,0.999485658515246
92,8,0.025,0.000999999999999999,0.00033576374944551,0.000551206966480805,76.2783505154639,0.99982802061205
93,8,0,0.000999999999999999,0.00031176166346175,0.000744330349591683,98,0.999851231897464
94,6,0,0.000999999999999999,0.000459330279645184,0.00138689777450435,98,0.999771295611027
95,8,0,0.00163789370695406,0.00157042448170047,0.00638557541892671,98,0.999221650665809
96,8,0,0.00268269579527972,0.00131159309370217,0.005449285777926,98,0.999373104969248
97,8,0.125,0.000999999999999999,0.000409324535883096,0.00129610885896761,46.6701030927835,0.999794116070819
98,8,0,0.0117876863479359,0.000478056106736774,0.00216834180743233,98,0.999753632940715
