"variable","theta","alpha","lambda","mse","msesd","nonzero","rho"
59,8,0,0.000999999999999999,0.000443359732497796,0.00100105682554359,81,0.999777535771752
60,6,0.025,0.000999999999999999,0.000370662622426257,0.00084081368802004,72.4536082474227,0.999814704100888
61,8,0.15,0.000999999999999999,0.0017459824567169,0.00540531478035465,44.680412371134,0.999157509231579
62,6,0.075,0.000999999999999999,0.00046408990101832,0.000870301595503816,50.0412371134021,0.999764425883405
63,3,0.025,0.000999999999999999,0.000450987634277927,0.00181347730003239,72.5567010309278,0.999772851335306
64,6,0,0.000999999999999999,0.00116073658674393,0.0056750535691919,81,0.999415714064688
65,4,0,0.00268269579527972,0.00077206644208108,0.00437114250554761,81,0.999609654552422
66,8,0.025,0.00719685673001152,0.00216789672775565,0.00937680916378578,62.8659793814433,0.998914506333346
67,8,0.225,0.000999999999999999,0.00311227652240885,0.00961950274179225,35.3505154639175,0.99845595690688
68,6,0.1,0.000999999999999999,0.000308206517775084,0.000931305428163729,53.659793814433,0.999845653596157
69,8,0.1,0.000999999999999999,0.000787721950687185,0.00200054391630348,49.7422680412371,0.999599122211353
70,6,0,0.000999999999999999,0.000373991047858565,0.00109397176319606,81,0.999815331123036
71,4,0.05,0.00163789370695406,0.00089356912244865,0.00309944840040541,58.020618556701,0.99955764386257
72,6,0.125,0.000999999999999999,0.000443783517209288,0.00114072356773602,36.2474226804124,0.999776583653859
73,8,0,0.0117876863479359,0.000758440775738004,0.00291882367088594,81,0.999616819612991
74,4,0.675,0.00163789370695406,0.00342991347569123,0.0135670758620501,18.1340206185567,0.998336020601602
75,6,0.025,0.000999999999999999,0.000302062832762612,0.000669744730152574,72,0.999846207219293
76,6,0.05,0.000999999999999999,0.000927113344535084,0.00230623580831148,64.8659793814433,0.999564181941444
77,8,0,0.000999999999999999,0.000488834592496868,0.000833114596132566,81,0.999748945522436
78,8,0,0.0193069772888325,0.00192841111395544,0.00914679982311235,81,0.998955698741907
79,8,0.4,0.000999999999999999,0.000472213374979596,0.000859136111442042,25.979381443299,0.999762669030091
80,8,0.025,0.000999999999999999,0.00244695592130788,0.0180735630112062,69.680412371134,0.998790388976399
81,8,0.6,0.000999999999999999,0.000789657685650875,0.000955161759410763,24.7731958762887,0.999603698555364
