"variable","theta","alpha","lambda","mse","msesd","nonzero","rho"
27,0.25,0.05,0.000999999999999999,0.00934408582780408,0.0246443669335683,135.546391752577,0.995247913244729
28,0.1,0.6,0.000999999999999999,0.0289338777761594,0.12367713902896,57,0.985388764068647
29,2,0.05,0.000999999999999999,0.00435587024287867,0.0139844423685937,110.288659793814,0.997802219135097
30,1.5,0,0.000999999999999999,0.00856005174336279,0.0356243402368579,146,0.995722508908255
31,0.1,0.55,0.000999999999999999,0.0162121600893499,0.0721182770574572,60.1855670103093,0.991876820855019
32,0.25,0.025,0.000999999999999999,0.00764822797809667,0.0245029058442122,144.247422680412,0.996160851923125
33,1.5,0.15,0.000999999999999999,0.00612110075594292,0.0233349999169191,77.8659793814433,0.996929063795057
34,2,0,0.000999999999999999,0.0038063322594098,0.0135209296818292,146,0.998088618318778
35,0.05,0.2,0.000999999999999999,0.0241430114994116,0.0842334632066632,96.1855670103093,0.987883555746759
36,0.01,0,0.000999999999999999,0.0139013831833146,0.0404496370807118,146,0.992998955232756
37,0.5,0.15,0.000999999999999999,0.00849604565725954,0.0188442450890221,96.7422680412371,0.99575269953125
38,0.005,0.025,0.000999999999999999,0.00446089602131253,0.0107685118335482,144.731958762887,0.997758060134344
39,2,0,0.000999999999999999,0.00453321925950344,0.0132078369065282,146,0.997746311889878
40,1,0.025,0.000999999999999999,0.0102400160609989,0.0291380588180096,139.319587628866,0.994819458879529
41,0.75,0.05,0.000999999999999999,0.00390623395363053,0.0146638004398893,127.360824742268,0.998047556139616
42,4,0.25,0.000999999999999999,0.025658452644854,0.0672916318415595,48.4639175257732,0.987482552283693
43,4,0,0.000999999999999999,0.0014318063478226,0.00729731221510778,146,0.999285785116523
44,0.05,0.075,0.000999999999999999,0.0052931554691674,0.0144086323041186,125.463917525773,0.997312769366038
45,2,0.075,0.000999999999999999,0.00653616041216236,0.0157925319782236,110,0.996751330763103
46,2,0.025,0.000999999999999999,0.00898296348678505,0.0269248338729767,135.443298969072,0.99550422571512
47,0.05,0.05,0.000999999999999999,0.00824934125868317,0.0191004818360963,138.40206185567,0.995865429194301
48,2,0.05,0.000999999999999999,0.00232148863143898,0.00576641957321137,113.731958762887,0.99891682941064
49,1,0,0.000999999999999999,0.0605357549145655,0.349016518692659,146,0.970721415667498
50,0.05,0.075,0.000999999999999999,0.0218999563082306,0.0641783635576213,128.432989690722,0.988940090981512
51,0.01,0.025,0.000999999999999999,0.00500214012343734,0.0129445424595715,142.865979381443,0.997491333085036
52,0.01,0,0.000999999999999999,0.0306835885214785,0.100764830544619,146,0.985012167136825
53,0,0,0.000999999999999999,0.0160676906967179,0.044945924875322,146,0.99190219211509
54,0,0,0.000999999999999999,0.0070078196914632,0.0200054229323143,146,0.996465398799661
55,0.005,0.025,0.000999999999999999,0.020896685860189,0.0509278345213591,144.824742268041,0.989378209870736
56,0,0.025,0.000999999999999999,0.00443113074691459,0.0153212151089866,143.350515463918,0.997758512186499
57,0.1,0.05,0.000999999999999999,0.0223347114573473,0.0607570064396742,140.546391752577,0.988581684175317
58,0.01,0.05,0.000999999999999999,0.00997142209245794,0.0310497806364365,134.670103092784,0.994962082299392
59,0.1,0,0.000999999999999999,0.0247736203054076,0.0981044399411128,146,0.987534248048842
60,1.5,0,0.000999999999999999,0.0957070277861199,0.555345189620882,146,0.953291373164513
61,3,0,0.000999999999999999,0.00272366382575649,0.012643759044109,146,0.998646251294493
62,1,0.65,0.000999999999999999,0.0147730048423107,0.0382523626949527,45.0824742268041,0.992483253966502
63,0.25,0.05,0.000999999999999999,0.00506128483622374,0.0146526491307621,128.051546391753,0.997447351577391
64,6,0,0.00163789370695406,0.0134078657473233,0.0316940107551848,146,0.993358719850567
65,1,0.025,0.000999999999999999,0.0113834950060374,0.0269420969927702,141.886597938144,0.994235597296746
66,3,0.85,0.000999999999999999,0.0185896874233874,0.0427235142503769,32.6288659793814,0.990545774231028
67,0,0.1,0.000999999999999999,0.00822929197086812,0.0258469322071835,111.443298969072,0.995857177503063
68,4,0,0.000999999999999999,0.00383994203225377,0.0124098059385874,146,0.998093421367232
69,0.05,0.325,0.000999999999999999,0.0106776995637676,0.0397444368080845,68.7938144329897,0.994639625010664
70,3,0,0.000999999999999999,0.00288795248327665,0.0121465992266223,146,0.998536618939206
71,0.05,0.025,0.000999999999999999,0.0052874336683604,0.0163253241223754,144.237113402062,0.997299514186288
72,3,0,0.000999999999999999,0.00617892987533922,0.0166309860609959,146,0.996903100103654
73,0.1,0,0.000999999999999999,0.00606295151326222,0.0160190978721416,146,0.996995787821811
74,6,0.225,0.000999999999999999,0.0132220132564406,0.0354760674862624,39.7113402061856,0.993339362817301
