"variable","theta","alpha","lambda","mse","msesd","nonzero","rho"
52,6,0.3,0.00163789370695406,0.0585785186946932,0.0920975515656862,35.9278350515464,0.970636410217776
53,2,0.875,0.000999999999999999,0.0383421015855623,0.0654931362033467,49.8453608247423,0.980635963375437
54,4,0.55,0.00163789370695406,0.0829343131067496,0.142779653708648,43.5979381443299,0.957520223797216
55,4,0.8,0.000999999999999999,0.0582453380641457,0.0750779454535348,42.9175257731959,0.969877026850325
56,1,1,0.000999999999999999,0.0125925302557529,0.0152262741724969,49.8762886597938,0.993674070910955
57,6,0.25,0.000999999999999999,0.0227905235134553,0.0336270153063083,41.4845360824742,0.98858012787559
58,8,0.45,0.000999999999999999,0.0390797973959733,0.0943030235140927,22.1649484536082,0.980312433076791
59,4,0.175,0.00268269579527972,0.0493426796122234,0.0851396281068684,58.298969072165,0.97461560771383
60,6,0.55,0.000999999999999999,0.0226738250345092,0.0454558110507621,27.5154639175258,0.988588137114673
61,8,0.075,0.00439397056076079,0.0139527900314911,0.0269104319202382,29.3814432989691,0.992959919050536
62,0.05,0.3,0.00719685673001152,0.052237297071745,0.0815792325162625,59.5979381443299,0.973349890620251
63,8,0.95,0.000999999999999999,0.0468382708152237,0.0627843479891924,18.0927835051546,0.976587402399409
64,6,0.55,0.000999999999999999,0.0643012431293749,0.0879534570198224,34.1340206185567,0.967409723026934
65,0.05,0.375,0.00268269579527972,0.0621288594908607,0.0864674482274135,68.7216494845361,0.968402704498005
66,6,0.025,0.000999999999999999,0.00940660835412735,0.0233877334825221,85.1237113402062,0.995268968453214
67,8,0.625,0.000999999999999999,0.062917206590062,0.118152087749942,21.340206185567,0.968554620531952
68,6,0.325,0.000999999999999999,0.00667178775384979,0.0125711974078236,26.8762886597938,0.99662551395835
69,1.5,1,0.00163789370695406,0.0413937607031538,0.0720531052881982,48.1546391752577,0.977608720074158
70,6,0.325,0.000999999999999999,0.0158409633868931,0.0366842274383355,31.3917525773196,0.992116992877235
71,6,0.875,0.000999999999999999,0.0368363036675042,0.0492257232750496,21.8556701030928,0.981349546094036
72,6,0.275,0.000999999999999999,0.0157592422448185,0.0219899350188358,39.3092783505155,0.992094842588872
73,6,0.95,0.000999999999999999,0.0256038156886469,0.0484486109876634,21.1237113402062,0.987219340202058
74,6,0.175,0.000999999999999999,0.0311864267884922,0.048489050382583,54.1855670103093,0.984072629904425
75,8,0.025,0.000999999999999999,0.0294759811362462,0.0493475716482731,84.7731958762887,0.98519061516213
76,4,0.5,0.000999999999999999,0.0211704261826166,0.0494947078218867,40.2680412371134,0.98949492585633
77,6,1,0.00163789370695406,0.0747561294136708,0.154249967861586,17.9587628865979,0.961239669210744
78,6,0.125,0.000999999999999999,0.0143590021003681,0.0376768788967534,48.7319587628866,0.992583080259273
79,8,0.025,0.00163789370695406,0.0044625399008618,0.00649688875592571,62.6185567010309,0.99776700918125
80,3,0.3,0.00268269579527972,0.0510429511937003,0.082581729793834,47.4226804123711,0.974195302023655
