"In_sample","theta","alpha","lambda","rho","mae","rmse"
1,3,0.025,0.000999999999999999,0.97977576406304,0.129478028292041,0.198576938744264
1,3,0.025,0.000999999999999999,0.989187480846245,0.111696009547347,0.146467349870072
1,3,0.025,0.000999999999999999,0.987388956194044,0.102053250527979,0.161106067119032
1,3,0.025,0.000999999999999999,0.980341584201333,0.12590588145831,0.193816164363794
1,1,0.025,0.000999999999999999,0.994134104657679,0.0787123226116318,0.108233909624397
1,1,0.025,0.000999999999999999,0.964090426991951,0.163754914319156,0.260828304841862
1,1,0.025,0.000999999999999999,0.978304777768386,0.150267173002702,0.20745464863937
1,1,0.025,0.000999999999999999,0.994289231427005,0.0850543722809378,0.106871278417775
1,1,0.025,0.000999999999999999,0.952585191862037,0.213241364570109,0.300298727494612
1,1,0.025,0.000999999999999999,0.98677466751301,0.0998083522002873,0.161765687529062
1,1,0.025,0.000999999999999999,0.982420717309796,0.131918808148817,0.185069693439045
1,1,0.025,0.000999999999999999,0.976667625491176,0.155473280182795,0.21220409567606
1,2,0.125,0.000999999999999999,0.978237169699371,0.129334689931607,0.207418082698588
1,2,0.125,0.000999999999999999,0.99387687442636,0.070483951746984,0.110598179023219
1,2,0.125,0.000999999999999999,0.995551162724845,0.0683859834683127,0.0944186328489135
1,2,0.125,0.000999999999999999,0.987576044844092,0.114730158710457,0.159417351571456
1,2,0.125,0.000999999999999999,0.992478910363173,0.0700455290098817,0.122487698082237
1,2,0.125,0.000999999999999999,0.991739931915426,0.0900031494760234,0.12669879721892
1,2,0.125,0.000999999999999999,0.989282077401076,0.103221739827322,0.145862223605013
1,2,0.125,0.000999999999999999,0.979097593168203,0.153313667591224,0.201292203137868
1,1.5,0.05,0.000999999999999999,0.984795111544591,0.137025663643473,0.172962893053043
1,1.5,0.05,0.000999999999999999,0.993896977160439,0.0848885503423628,0.110039937798052
1,1.5,0.05,0.000999999999999999,0.990828764151468,0.0971822988935355,0.135021521435931
1,1.5,0.05,0.000999999999999999,0.996395582376143,0.0598825682847668,0.0848115914792183
1,1.5,0.05,0.000999999999999999,0.989475900870511,0.118795511949356,0.144788839974404
1,1.5,0.05,0.000999999999999999,0.990376977599471,0.108713350003277,0.136946393750186
1,1.5,0.05,0.000999999999999999,0.988632491075018,0.105133050927716,0.149894334026267
1,1.5,0.05,0.000999999999999999,0.98868836706498,0.118503758854564,0.149723886008695
1,1.5,0.025,0.000999999999999999,0.993239603984253,0.0772301435427117,0.110719899067603
1,1.5,0.025,0.000999999999999999,0.994052432332603,0.0794811949518807,0.108886994057155
1,1.5,0.025,0.000999999999999999,0.985792050633558,0.116611940218173,0.168864182344551
1,1.5,0.025,0.000999999999999999,0.992922584067816,0.0923039755290243,0.119076278383712
1,1.5,0.025,0.000999999999999999,0.997366763018378,0.053620134860438,0.0725580448667105
1,1.5,0.025,0.000999999999999999,0.989033511070329,0.103433268554162,0.14761070043734
1,1.5,0.025,0.000999999999999999,0.986770726831618,0.10910972894748,0.162332450683353
1,1.5,0.025,0.000999999999999999,0.984489046565708,0.121941372339361,0.174636010679225
1,1.5,0.025,0.000999999999999999,0.978760855842779,0.131387209976681,0.205533352674679
1,1.5,0.025,0.000999999999999999,0.994675764610783,0.0796591067020269,0.103767969762935
1,1.5,0.025,0.000999999999999999,0.988934134906454,0.120978059834971,0.149338143451072
1,1.5,0.025,0.000999999999999999,0.992016999635639,0.0942419949883849,0.126892831768685
1,1.5,0.025,0.000999999999999999,0.989759838303733,0.0938466068516208,0.143142713806851
1,1.5,0.025,0.000999999999999999,0.994568747101997,0.083800004796689,0.103879227924994
1,1.5,0.025,0.000999999999999999,0.986459522133052,0.113317204637558,0.160940918285451
1,1.5,0.025,0.000999999999999999,0.995130209763408,0.0728485330933006,0.0974025960168681
1,2,0,0.000999999999999999,0.990979004433019,0.0732821866531972,0.134106189139148
1,2,0,0.000999999999999999,0.98569787629775,0.125564372353697,0.171112316414835
1,2,0,0.000999999999999999,0.980885633301511,0.107328536582562,0.191176622250573
1,2,0,0.000999999999999999,0.992114610225889,0.0734661825456474,0.124917308831057
1,2,0,0.000999999999999999,0.980128633633164,0.149030048586667,0.200550067524602
1,2,0,0.000999999999999999,0.98522577225113,0.0963213899728924,0.175746340608816
1,2,0,0.000999999999999999,0.991256808125193,0.0835488968167655,0.137360336789724
1,2,0,0.000999999999999999,0.972618679993901,0.131652315385464,0.236833157840567
1,4,0,0.000999999999999999,0.98658270194922,0.0866263822364882,0.165985917350791
1,4,0,0.000999999999999999,0.992708655981389,0.073443686656677,0.124585586377101
1,4,0,0.000999999999999999,0.988752011860318,0.098133490287121,0.153234066758422
1,4,0,0.000999999999999999,0.992604732657889,0.0805640437575761,0.125488112614043
1,4,0,0.000999999999999999,0.990734487061125,0.0744198618082069,0.143734537874085
1,4,0,0.000999999999999999,0.988419953791127,0.0778986960058628,0.159450104637876
1,4,0,0.000999999999999999,0.993064783214673,0.0766358742020075,0.120582540824799
1,4,0,0.000999999999999999,0.990802540132667,0.0789425758165495,0.143202405506852
1,0.1,0,0.000999999999999999,0.989208002862245,0.103037641365852,0.146066075734204
1,0.1,0,0.000999999999999999,0.964274073045098,0.178972714647055,0.264584039347179
1,0.1,0,0.000999999999999999,0.984473323169453,0.12059598884338,0.170324567201895
1,0.1,0,0.000999999999999999,0.966360971907364,0.163699683671635,0.256992506111339
