"variable","theta","alpha","lambda","mse","msesd","nonzero","rho"
22,8,0.025,0.0316227766016838,0.0120919269933733,0.0153851188012878,82.6185567010309,0.994020915647294
23,8,0.6,0.00163789370695406,0.00743472030682298,0.0117908618402765,29.9381443298969,0.996271609628025
24,8,0.1,0.0193069772888325,0.011825186201224,0.0190093860328517,35.3711340206186,0.994124270910596
25,6,0.15,0.000999999999999999,0.00337617622796502,0.00481065147014427,65.4845360824742,0.998300015479535
26,8,0,0.0193069772888325,0.00740554198678586,0.0110289610924473,129,0.996274364532222
27,8,0,1,0.0481432740436818,0.0745293019513598,129,0.982986608742074
28,8,0.35,0.0848342898244071,0.045658440416149,0.0773667960707851,2.5979381443299,0.984418276936652
29,3,0.2,0.000999999999999999,0.00313747649877339,0.0048955344474913,54.1958762886598,0.998411412114276
30,8,0,0.610540229658533,0.0208130799666279,0.0386748880134661,129,0.990477218631372
31,8,0,0.138949549437314,0.0223531942932343,0.0286721146684444,129,0.988885251067714
32,8,0.2,0.00719685673001152,0.018667328010757,0.0256108142541744,38.6907216494845,0.990531964687321
33,8,0,0.0193069772888325,0.00983165228315278,0.0131992191199879,129,0.995064665371795
34,6,0.825,0.00268269579527972,0.00959145135559473,0.0132462973614456,21.1340206185567,0.995174890530845
35,8,0,0.0193069772888325,0.0247766221681347,0.0297729970617851,129,0.987518445588467
36,8,0,0.138949549437314,0.0385715157585273,0.0818632569967298,129,0.98156218805057
37,8,0.175,0.0117876863479359,0.0080938116263609,0.0104086346180833,36.3505154639175,0.996053154704648
38,4,0.925,0.000999999999999999,0.00179469961889344,0.00331974120374108,24.4020618556701,0.999100499555282
39,8,0,0.610540229658533,0.051329705892178,0.108108776535685,129,0.976462254348566
40,8,1,0.000999999999999999,0.010335558355707,0.0147891517377582,26.6185567010309,0.994824671512474
41,8,0,0.0848342898244071,0.0215152319281202,0.0255147461002966,129,0.989803102339141
42,8,0,0.0316227766016838,0.00791540821948828,0.0107627350293941,129,0.996024367960211
43,8,0.175,0.00268269579527972,0.00314714657228711,0.00409201855082443,49.1237113402062,0.99841008404334
44,4,0.2,0.000999999999999999,0.00474062169480202,0.00824583955484444,60.7422680412371,0.997611356921204
45,8,0.775,0.000999999999999999,0.00402960463968819,0.0060285464590526,24.1752577319588,0.997978836568214
46,8,0,0.0848342898244071,0.0174821390988565,0.0274239663022913,129,0.991387815277277
47,8,0.1,0.0193069772888325,0.0136225697918204,0.0196945392649174,53.6907216494845,0.993535582706157
48,8,0,0.372759372031494,0.0405086879779817,0.0604337640254749,129,0.982782707291761
49,6,0.025,0.000999999999999999,0.0077920213915631,0.012732027287898,111.19587628866,0.996065356043226
50,8,0.075,0.0193069772888325,0.0234853046401565,0.0320875749955209,57.5463917525773,0.988331762282111
51,8,0,0.227584592607479,0.0481243476628813,0.0821825320464685,129,0.977210905970187
52,6,0.025,0.00268269579527972,0.00985264304119716,0.0128874829651951,105.257731958763,0.995035539566356
53,8,0,1,0.0508513222948263,0.0482350334817067,129,0.984312095187042
54,8,0.65,0.000999999999999999,0.00713427934448566,0.00991981109195908,33.7422680412371,0.996440046141179
55,8,0.075,0.00719685673001152,0.00727288914881994,0.0113035827586861,65.4845360824742,0.996386269759013
56,6,0.075,0.0117876863479359,0.00821042521984267,0.010428480569582,64.8556701030928,0.995913032761659
57,6,0.6,0.00163789370695406,0.00969573487297778,0.0129156987305777,29.5257731958763,0.99513174612158
58,8,0,1,0.0359334657561861,0.0602542781714677,129,0.983334226784136
59,8,1,0.00268269579527972,0.017105727144724,0.0223427611035228,19.1649484536082,0.991557595351127
60,8,1,0.00163789370695406,0.00969546720717105,0.0147701252216033,22.5154639175258,0.995272215060021
61,8,0,0.0316227766016838,0.0103149360463226,0.0159954602627404,129,0.994835743950424
62,8,0,0.0517947467923121,0.00700209657414542,0.00973520027176042,129,0.996456776809113
63,8,0.025,0.0316227766016838,0.0139509395346778,0.0226240191417958,90.319587628866,0.993043599957262
64,8,0.975,0.00163789370695406,0.0147955175124154,0.0216708353014662,24.7319587628866,0.992798360314904
65,6,0.975,0.000999999999999999,0.0236241866032726,0.0332816390474562,34.1134020618557,0.987895216562536
66,8,0,0.138949549437314,0.0519981437972963,0.100952168583922,129,0.974538612695577
67,8,0.025,0.0848342898244071,0.0133713445187451,0.0207959737911315,84.639175257732,0.993761190154508
68,8,1,0.00163789370695406,0.00863220007202023,0.0145715918719924,21.4123711340206,0.99582851152417
69,8,0,1,0.0322799730126442,0.0488474899394664,129,0.986162769293242
70,8,0,0.372759372031494,0.0314956829808794,0.043688653434401,129,0.98590200650304
71,8,0.1,0.0193069772888325,0.00812691321210588,0.0121045833820674,49.2783505154639,0.996074539089077
72,8,0,1,0.0850781747772488,0.132917147691827,129,0.964830622523435
73,6,0.875,0.000999999999999999,0.0245098752057826,0.0314765730077373,36.4226804123711,0.987470260554056
74,8,1,0.000999999999999999,0.00809772258966443,0.0120816094824629,22.680412371134,0.995909929524046
75,8,0,0.0316227766016838,0.0113832493320643,0.0166524665721425,129,0.994299598210019
76,8,0,0.610540229658533,0.0422451516465694,0.0819623727512792,129,0.979794698390436
77,8,0.05,0.0517947467923121,0.0367404268765449,0.0713212250231935,59.979381443299,0.982227540667252
78,8,0,0.227584592607479,0.0276062941912206,0.0417069996380031,129,0.987123371652699
79,8,0.725,0.000999999999999999,0.00442060851088879,0.00696373661902308,28.1958762886598,0.997786821990501
80,8,0.45,0.000999999999999999,0.00759510287874692,0.0109041620621657,37.1443298969072,0.996176681973499
81,8,0.075,0.0117876863479359,0.0104306968637156,0.0160380812374126,59.7938144329897,0.994900430864121
82,8,0.025,0.00719685673001152,0.00460410612612529,0.00675141682930603,87.2164948453608,0.997679237367069
83,8,0.1,0.00163789370695406,0.00478788447733166,0.00642701974330773,76.1030927835052,0.997578606537672
84,6,0.975,0.000999999999999999,0.00575345266409747,0.0090503279018232,30.1752577319588,0.997111952475257
85,8,0,1,0.0490180847460423,0.194918631667404,129,0.976364105211019
