"variable","theta","alpha","lambda","mse","msesd","nonzero","rho"
58,8,0,0.227584592607479,0.0128382834510026,0.0297092934415543,147,0.993717228873436
59,8,0,1,0.0387971282183527,0.143258375077692,147,0.980772170537185
60,8,0,1,0.0345266637344556,0.102869382017412,147,0.983178871861803
61,1.5,0.425,0.00163789370695406,0.00640343591917271,0.0134368996774673,49.7628865979381,0.996752561642432
62,0.05,0.15,0.000999999999999999,0.00296794532581184,0.00413691610470562,100.020618556701,0.998508464264727
63,8,0,1,0.0514667229805362,0.0688169282255093,147,0.983049645970678
64,8,0,0.138949549437314,0.00723549385928397,0.00855764897424509,147,0.996575594307562
65,8,0,0.0848342898244071,0.00440176572260906,0.00609643714482382,147,0.99781564745092
66,8,0,0.227584592607479,0.0107035075715174,0.0169193719546999,147,0.995296039945568
67,8,0,1,0.0350601472345609,0.106915768779802,147,0.983433843248404
68,8,0,0.372759372031494,0.01108783569711,0.018648085472582,147,0.995416186156075
69,8,0,0.610540229658533,0.0211180476814558,0.0353287640192891,147,0.991563681224935
70,0.05,0.35,0.000999999999999999,0.00250306261378621,0.00393575131894494,63.1855670103093,0.998742806006497
71,8,0,0.0517947467923121,0.00697685940614272,0.0108708794923731,147,0.996460235178024
72,6,0,0.0848342898244071,0.00351728249068966,0.00506381531585493,147,0.998234097213959
73,6,0,0.0848342898244071,0.00748338906927498,0.0125927494899443,147,0.996220906397109
74,8,0,0.372759372031494,0.0142168205332622,0.0291669902355185,147,0.992839272521028
75,8,0,0.0848342898244071,0.00549653175864166,0.0090592644799358,147,0.997340759023937
76,6,0,0.227584592607479,0.00831377006909758,0.014193932285066,147,0.995911356659552
77,8,0,0.610540229658533,0.0316959023123157,0.0914700688305788,147,0.985374107737026
78,8,0,0.138949549437314,0.00965263126254871,0.0133778066975828,147,0.995223929587085
79,8,0,0.227584592607479,0.00893064519421732,0.0163222351748555,147,0.995786102959025
80,8,0,0.372759372031494,0.0128107606642252,0.0201165731766237,147,0.994326797271542
81,8,0,0.0848342898244071,0.0061282742062584,0.0113387523854758,147,0.996943963636822
82,8,0,0.138949549437314,0.0064752769933856,0.0134143356416772,147,0.996865743310106
83,8,0,0.0848342898244071,0.0066200704298313,0.0103624339073372,147,0.996747451211056
84,0.5,0.875,0.00268269579527972,0.00441357648473138,0.00745833908825527,30.5051546391753,0.997761865380714
85,0.01,0.1,0.000999999999999999,0.00231506392388278,0.0038440546152221,119.051546391753,0.998826649938067
86,8,0,0.227584592607479,0.00999087408332362,0.0142278544619137,147,0.995460113306296
87,8,0,0.0517947467923121,0.00932183166687008,0.0168254521646105,147,0.995264432712798
88,0.01,0.05,0.000999999999999999,0.00503565573463286,0.00696402303505117,139.670103092784,0.997462408383786
89,8,0,0.0848342898244071,0.00605070974251668,0.00969446200600338,147,0.997035421375658
90,6,0.075,0.00719685673001152,0.00289882015242479,0.00412241617400716,61.5773195876289,0.998556078378207
91,8,0,0.610540229658533,0.0225641880695882,0.0404333159233598,147,0.989935866805629
92,8,0,0.372759372031494,0.0215428972521155,0.0539014772437524,147,0.9894268976725
93,8,0,1,0.0431525464515919,0.0642579953967243,147,0.982390587364805
94,0.01,0.05,0.0117876863479359,0.00106197081269244,0.00160874609875574,71.360824742268,0.999462686667974
95,8,0,0.227584592607479,0.00895564163086648,0.0149544231966922,147,0.995825995640174
96,8,0,0.372759372031494,0.0160660462458839,0.0392756262679577,147,0.992572520967583
97,8,0,0.0316227766016838,0.00239087929544091,0.00460057936298562,147,0.998799801924118
98,4,0,0.138949549437314,0.00437770285785654,0.00538188170832072,147,0.997790889065033
99,8,0,0.372759372031494,0.0134215965717991,0.0251216346944904,147,0.993730629213445
100,4,0,0.00719685673001152,0.00392228581331817,0.00542303213532213,147,0.998016139165519
101,8,0,0.138949549437314,0.00518445890256969,0.00843198402652254,147,0.997380948947705
102,6,0,0.0848342898244071,0.00395090063706596,0.00563684994551015,147,0.998031988125666
103,6,0,0.0316227766016838,0.00215356069237061,0.00339640775971316,147,0.998923497302048
104,8,0,0.610540229658533,0.0248736142296731,0.0393881195436181,147,0.989528051927455
105,8,0,0.0848342898244071,0.00462331910128419,0.0078134671604979,147,0.99773453846343
106,8,0,0.227584592607479,0.0106886504752328,0.0204121438669313,147,0.994924842152083
107,8,0,1,0.0183818698265331,0.0363804912230032,147,0.992033200503389
108,8,0,0.138949549437314,0.00913934851118009,0.00983792616419389,147,0.995545565797489
109,8,0,0.227584592607479,0.00672345497226981,0.00982372181748862,147,0.996957904639835
110,3,0.775,0.00268269579527972,0.00705726524011323,0.0111988688836126,24.2783505154639,0.996454569378156
111,6,0,0.0848342898244071,0.00531604758094244,0.00757949625541681,147,0.997311371622071
112,8,0,0.227584592607479,0.00809151736982461,0.0139099262627579,147,0.996356383386315
113,8,0,0.0517947467923121,0.00353039493053246,0.00470402097585371,147,0.998224794974787
114,6,0.025,0.0316227766016838,0.00631735392949866,0.0104700850200677,88.9896907216495,0.996827050900606
115,8,0,1,0.0512326296085714,0.174021506469207,147,0.974609329066528
116,8,0,0.138949549437314,0.00626861621351074,0.00891594464743509,147,0.996962460481201
117,6,0,0.138949549437314,0.00574976564700791,0.00830442823509375,147,0.997095806837875
118,8,0,0.138949549437314,0.0133394932128661,0.0194157510051854,147,0.993287559954688
119,8,0,0.0848342898244071,0.00665221529334237,0.0105823773069557,147,0.996607601514734
120,8,0,0.138949549437314,0.00617656486575523,0.0108357504355558,147,0.9970421434881
121,8,0,0.372759372031494,0.0165515321607469,0.0237251888174025,147,0.991694759107943
122,8,0,0.0848342898244071,0.011108999419991,0.0162198951755937,147,0.994388822513683
123,8,0,0.138949549437314,0.00656075746223119,0.0104869148498883,147,0.996893348365447
124,8,0,0.610540229658533,0.0149693964392225,0.02272988373785,147,0.993957502308555
125,8,0,0.138949549437314,0.00340789971157187,0.00442436690875154,147,0.998298037103024
126,8,0,0.0517947467923121,0.0068972813720538,0.0133019438354318,147,0.996544780287864
127,8,0,0.0848342898244071,0.00523845612649706,0.00702238504738959,147,0.997404135917162
128,8,0,0.610540229658533,0.0170970647673045,0.0392454562902603,147,0.992299648227137
129,6,0.025,0.0517947467923121,0.00827028021692615,0.0179327184325656,95.1237113402062,0.995924801500326
130,8,0,0.372759372031494,0.0163251580504003,0.0328800155623234,147,0.992529550378558
131,8,0,0.227584592607479,0.00966577301710494,0.0165285544530624,147,0.995150802933885
132,8,0.025,0.0517947467923121,0.00606990058469111,0.00880070241984506,112.154639175258,0.997170593493767
133,8,0,0.227584592607479,0.00813584657512761,0.0169305006558156,147,0.996164409361364
134,2,0.175,0.000999999999999999,0.00136452131335831,0.00170880399275098,62.7628865979381,0.999309231439841
135,8,0,0.372759372031494,0.00879716836151036,0.0139445676181653,147,0.996199698895555
136,8,0,1,0.0279991553687624,0.0675749994932185,147,0.98821003130109
137,0.75,0.175,0.000999999999999999,0.00473425870754821,0.00745205125527184,87.6907216494845,0.997608679927582
138,0.005,0.4,0.00268269579527972,0.00328429255859337,0.00586312723394335,53.8659793814433,0.99834844943344
139,8,0,0.227584592607479,0.00965591462315268,0.0129190263384148,147,0.995268486577821
140,4,0.125,0.00439397056076079,0.0063363207379378,0.00827821149669497,60.9278350515464,0.996787338080534
141,8,0,0.610540229658533,0.022646322952038,0.0419011118501489,147,0.989612893952451
142,8,0,0.610540229658533,0.0195639472117042,0.0318596089161702,147,0.991573810480794
143,6,0.025,0.0517947467923121,0.00641360315926276,0.0127918027300238,84.6494845360825,0.996812766997664
144,8,0,1,0.00604992971576828,0.0110203152770455,147,0.997447037567978
145,8,0,0.372759372031494,0.00918620906771689,0.0202858299415179,147,0.996288098988752
146,8,0,0.227584592607479,0.00724866720532298,0.0158393702401967,147,0.996516661889298
147,6,0.025,0.0117876863479359,0.00268886375745508,0.00488687929755318,93.7525773195876,0.998653524646541
